area,aspect,floe1_theta,floe2_theta,recovered_theta,minimum_sd,true_theta,perimeter
50.0,1.1,18.62239737556776,-18.580801657750822,-39.0,5.0,-37.20319903331858,26
50.0,1.1,-8.996224117150645,-10.726687979520952,-6.0,5.0,-1.730463862370307,26
50.0,1.1,7.536278425060571,-14.225802984475868,-19.0,7.0,-21.76208140953644,26
50.0,1.1,3.1584767430905454,9.151029439052044,9.0,0.0,5.992552695961498,26
50.0,1.1,2.779154962770431,-15.327972528688061,-19.0,2.0,-18.107127491458492,26
50.0,1.1,-19.363811064561204,18.081980629343136,36.0,5.0,37.44579169390434,26
50.0,1.1,-12.49636010561049,20.941092275847883,27.0,7.0,33.43745238145837,26
50.0,1.1,-5.674874612638284,2.5503003692782937,-6.0,0.0,8.225174981916577,26
50.0,1.1,-16.92636460749163,18.234665870283536,31.0,5.0,35.16103047777517,26
50.0,1.1,14.40279918206625,-11.064708772916289,-30.0,8.0,-25.467507954982537,26
50.0,1.1,3.294415733010019,-6.082285186987382,-6.0,0.0,-9.3767009199974,26
50.0,1.1,-1.5809327670187534,5.629120924168984,-6.0,0.0,7.2100536911877375,26
50.0,1.1,-9.153716354595185,3.3651640487114625,9.0,0.0,12.518880403306646,26
50.0,1.1,-9.048223426616081,5.8464912820155925,9.0,0.0,14.894714708631675,26
50.0,1.1,4.662001333906157,-21.35823211854799,-23.0,0.0,-26.020233452454146,26
50.0,1.1,-11.037432859718766,3.5461179025222247,11.0,0.0,14.583550762240991,26
50.0,1.1,-18.194278526120794,-4.770750724451872,18.0,0.0,13.423527801668921,26
50.0,1.1,13.104723206582092,-15.98291700498136,-30.0,6.0,-29.087640211563453,26
50.0,1.1,-17.36854615595334,-8.137686425483059,-5.0,11.0,9.23085973047028,26
50.0,1.1,8.372034805660105,-2.2593632210368937,-8.0,0.0,-10.631398026697,26
50.0,1.1,-15.05562239946264,17.89879935895582,31.0,6.0,32.95442175841846,26
50.0,1.1,3.125300913469121,-5.118094503803683,-6.0,0.0,-8.243395417272804,26
50.0,1.1,-3.8372608509508814,-12.921440347605765,-13.0,0.0,-9.084179496654883,26
50.0,1.1,1.034568821831931,18.05543048077454,17.0,1.0,17.020861658942607,26
50.0,1.1,-6.0723470413519065,-13.438431151377166,-12.0,0.0,-7.36608411002526,26
50.0,1.1,-17.555798527096428,-9.716573111494444,-5.0,7.0,7.839225415601984,26
50.0,1.1,-17.0220614161079,-7.685779475318572,10.0,11.0,9.336281940789327,26
50.0,1.1,20.51167497685463,12.550342056614902,-6.0,6.0,-7.961332920239727,26
50.0,1.1,-20.511107540211505,17.860227148910266,39.0,4.0,38.37133468912177,26
50.0,1.1,10.439826372731577,-14.855044352119888,-28.0,6.0,-25.294870724851464,26
50.0,1.1,18.91607430595266,-0.12634180368622072,-19.0,0.0,-19.04241610963888,26
50.0,1.1,-19.067714184177074,7.34828537701618,22.0,4.0,26.415999561193253,26
50.0,1.1,-9.218484922894186,8.219475782242966,10.0,6.0,17.43796070513715,26
50.0,1.1,-16.19120164809305,1.601306627025782,16.0,0.0,17.79250827511883,26
50.0,1.1,-0.22330465023837343,-9.163296454884328,-9.0,0.0,-8.939991804645954,26
50.0,1.1,-2.630700175988162,-19.469381363831907,-17.0,0.0,-16.838681187843747,26
50.0,1.1,21.9857200293207,7.813718421699211,-25.0,4.0,-14.172001607621489,26
50.0,1.1,16.33604363475582,13.794592421823623,-5.0,3.0,-2.5414512129321984,26
50.0,1.1,11.554051045557829,9.252826913391926,-6.0,2.0,-2.3012241321659026,26
50.0,1.1,-6.310795769684873,-17.8108167456873,-14.0,6.0,-11.500020976002428,26
50.0,1.1,3.9527362455491675,-3.5986041584598754,-6.0,0.0,-7.551340404009043,26
50.0,1.1,16.365614911121064,-5.327795361618917,-16.0,0.0,-21.693410272739982,26
50.0,1.1,-5.317013690317575,-8.745137703290652,-9.0,0.0,-3.4281240129730772,26
50.0,1.1,-1.4887434860604682,11.392599581532274,10.0,1.0,12.881343067592741,26
50.0,1.1,7.300169425256851,-13.679684985061114,-19.0,6.0,-20.979854410317966,26
50.0,1.1,15.941271178190778,-1.6835932558843925,-16.0,0.0,-17.62486443407517,26
50.0,1.1,18.312701541664367,-16.676789592819627,-39.0,5.0,-34.989491134484,26
50.0,1.1,-12.129626688604853,10.327635201397415,22.0,11.0,22.45726189000227,26
50.0,1.1,19.920555032688565,1.6419985522096332,-19.0,0.0,-18.278556480478933,26
50.0,1.1,6.88552073052664,-2.4466443220731176,-7.0,0.0,-9.332165052599757,26
50.0,1.1,-12.267218094904553,-1.7331634121182642,11.0,0.0,10.534054682786289,26
50.0,1.1,20.31968305924477,-4.171431857111513,-20.0,0.0,-24.491114916356285,26
50.0,1.1,18.42915614882465,-14.825054242597393,-39.0,5.0,-33.25421039142204,26
50.0,1.1,-17.460497995492915,-0.3344201741126579,16.0,0.0,17.126077821380257,26
50.0,1.1,-6.030223291853963,-10.905577356435433,-13.0,1.0,-4.875354064581471,26
50.0,1.1,-1.2065208839544312,6.469297121317074,-6.0,1.0,7.6758180052715055,26
50.0,1.1,7.2674591809693085,-4.6829293650454185,-7.0,0.0,-11.950388546014727,26
50.0,1.1,11.298760032266737,5.084300752925427,-12.0,0.0,-6.21445927934131,26
50.0,1.1,-10.613029037539691,10.66390499904503,-76.0,11.0,21.27693403658472,26
50.0,1.1,20.837729594148232,4.000986456993541,-21.0,0.0,-16.83674313715469,26
50.0,1.1,-1.7450096822929084,-12.336424999514117,-13.0,1.0,-10.591415317221209,26
50.0,1.1,-3.04105628528017,6.804254882102734,7.0,2.0,9.845311167382905,26
50.0,1.1,8.377027020583505,-5.580113723738721,-8.0,0.0,-13.957140744322226,26
50.0,1.1,-20.89844881823999,3.809330246341562,21.0,0.0,24.707779064581555,26
50.0,1.1,-15.774084788967908,-19.418423748061503,-6.0,1.0,-3.644338959093595,26
50.0,1.1,17.09916048141567,14.172796650250376,-5.0,4.0,-2.9263638311652933,26
50.0,1.1,11.567832119284425,-15.355701557146006,-30.0,7.0,-26.92353367643043,26
50.0,1.1,0.8664828919776324,20.740199851252868,18.0,0.0,19.873716959275235,26
50.0,1.1,5.3539915260985325,-8.408231469832273,-9.0,1.0,-13.762222995930806,26
50.0,1.1,0.44197195323154026,-7.128361594000341,-8.0,2.0,-7.570333547231882,26
50.0,1.1,-4.748348841937312,-20.372521265402654,-19.0,0.0,-15.624172423465343,26
50.0,1.1,6.107300556231603,-11.039095583195925,-13.0,1.0,-17.14639613942753,26
50.0,1.1,21.112337761764415,-5.528255183394819,-21.0,0.0,-26.640592945159234,26
50.0,1.1,-9.709660322684282,12.096222768564381,14.0,9.0,21.805883091248663,26
50.0,1.1,-10.55140289513814,-12.49312324688334,-5.0,1.0,-1.9417203517452002,26
